category,Relevant by ASReview LAB,Random relevant
1,0,0
2,0,0
3,0,0
4,0,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,2,2
12,2,2
13,2,2
14,3,2
15,3,2
16,4,2
17,4,2
18,5,3
19,5,3
20,5,3
21,6,3
22,7,3
23,8,3
24,9,3
25,9,3
26,9,4
27,10,4
28,11,4
29,12,4
30,13,4
31,14,4
32,15,4
33,16,5
34,17,5
35,17,5
36,18,5
37,19,5
38,20,5
39,21,5
40,21,6
41,21,6
42,21,6
43,21,6
44,22,6
45,22,6
46,23,6
47,23,7
48,23,7
49,24,7
50,24,7
51,25,7
52,25,7
53,25,7
54,26,8
55,27,8
56,28,8
57,29,8
58,29,8
59,29,8
60,29,8
61,30,9
62,31,9
63,32,9
64,32,9
65,33,9
66,33,9
67,33,9
68,33,10
69,34,10
70,35,10
71,36,10
72,36,10
73,37,10
74,38,10
75,38,10
76,39,11
77,40,11
78,40,11
79,41,11
80,41,11
81,41,11
82,41,11
83,42,12
84,42,12
85,43,12
86,44,12
87,44,12
88,45,12
89,46,12
90,47,13
91,48,13
92,49,13
93,49,13
94,50,13
95,51,13
96,51,13
97,52,14
98,52,14
99,53,14
100,54,14
101,55,14
102,56,14
103,57,14
104,57,15
105,58,15
106,59,15
107,60,15
108,61,15
109,62,15
110,62,15
111,62,16
112,63,16
113,64,16
114,65,16
115,66,16
116,66,16
117,66,16
118,67,17
119,68,17
120,68,17
121,69,17
122,69,17
123,70,17
124,71,17
125,71,17
126,72,18
127,73,18
128,74,18
129,75,18
130,76,18
131,77,18
132,78,18
133,79,19
134,80,19
135,80,19
136,81,19
137,82,19
138,83,19
139,84,19
140,85,20
141,86,20
142,86,20
143,87,20
144,88,20
145,88,20
146,88,20
147,89,21
148,90,21
149,91,21
150,92,21
151,92,21
152,93,21
153,94,21
154,94,22
155,95,22
156,96,22
157,96,22
158,96,22
159,97,22
160,98,22
161,99,23
162,100,23
163,101,23
164,102,23
165,102,23
166,103,23
167,104,23
168,105,24
169,106,24
170,107,24
171,108,24
172,108,24
173,109,24
174,110,24
175,111,24
176,112,25
177,113,25
178,114,25
179,114,25
180,115,25
181,116,25
182,116,25
183,117,26
184,117,26
185,117,26
186,118,26
187,119,26
188,119,26
189,120,26
190,121,27
191,121,27
192,122,27
193,123,27
194,124,27
195,124,27
196,124,27
197,125,28
198,126,28
199,127,28
200,128,28
201,129,28
202,130,28
203,131,28
204,132,29
205,133,29
206,134,29
207,134,29
208,135,29
209,136,29
210,137,29
211,138,30
212,138,30
213,138,30
214,139,30
215,140,30
216,141,30
217,141,30
218,141,31
219,142,31
220,143,31
221,143,31
222,143,31
223,144,31
224,145,31
225,145,31
226,146,32
227,147,32
228,147,32
229,148,32
230,149,32
231,150,32
232,151,32
233,151,33
234,152,33
235,152,33
236,153,33
237,154,33
238,155,33
239,156,33
240,156,34
241,157,34
242,157,34
243,157,34
244,157,34
245,158,34
